Video URL,Logo Detected,Detection Details
https://www.youtube.com/watch?v=nqbED-ZTc18,False,"[('First', ('likee4', 'ORB', 68.25396825396825)), ('Middle', ('tiktok11', 'ORB', 66.66666666666666)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=mmfcg-nyCdo,False,"[('First', ('tiktok11', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 100.0)), ('Last', ('likee4', 'ORB', 80.95238095238095))]"
https://www.youtube.com/watch?v=EKJPM-Zx6X4,False,"[('First', ('likee4', 'ORB', 76.19047619047619)), ('Middle', ('likee', 'ORB', 72.17391304347827)), ('Last', ('likee13', 'ORB', 74.07407407407408))]"
https://www.youtube.com/watch?v=rbnjd-6exlo,False,"[('First', ('tiktok1', 'ORB', 70.0)), ('Middle', ('likee13', 'ORB', 70.37037037037037)), ('Last', ('likee4', 'ORB', 79.36507936507937))]"
https://www.youtube.com/watch?v=tLrqm-FMn3I,False,"[('First', ('likee4', 'ORB', 73.01587301587301)), ('Middle', ('likee4', 'ORB', 71.42857142857143)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=wWhcH-jSi_Q,False,"[('First', ('tiktok1', 'ORB', 90.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 74.60317460317461))]"
https://www.youtube.com/watch?v=uatps-S8oOw,False,"[('First', ('tiktok11', 'ORB', 73.33333333333333)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=Bypdw-z9EAo,False,"[('First', ('likee4', 'ORB', 74.60317460317461)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('likee4', 'ORB', 66.66666666666666))]"
https://www.youtube.com/watch?v=tkReP-29k6Y,False,"[('First', ('likee4', 'ORB', 76.19047619047619)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 90.0))]"
https://www.youtube.com/watch?v=kVHYZ-jzkrY,False,"[('First', ('likee4', 'ORB', 73.01587301587301)), ('Middle', ('likee9', 'Template', 71.70454859733582)), ('Last', ('likee4', 'ORB', 60.317460317460316))]"
